"engl","spa"
"Go away!","¡Salga de aquí!"
"Go away!","¡Largo!"
"Go away!","¡Vete ya!"
"Go away!","¡Órale!"
"Go away!","¡A la calle!"
"Go away.","¡Vete de aquí!"
"Go away.","¡Lárgate!"
"Go away.","¡Largo!"
"Go away.","¡Vete ya!"
"Go away.","¡Órale!"
"Go away.","Lárguese."
"Go away.","Váyase."
"Go home.","Vete a casa."
"Go slow.","Vaya despacio."
"Goodbye!","¡Hasta luego!"
"Goodbye!","Hasta la vista."
"Goodbye!","¡Chau!"
"Hang on!","¡Espera!"
"Hang on!","¡Espera un momento!"
"Hang on!","¡Un segundo!"
"Hang on.","Espera."
"Hang on.","Agarra fuertemente."
"He came.","Él vino."
"He quit.","Él renunció."
"Help me!","Ayúdame."
"Help me.","Ayúdame."
"Help me.","Échame una mano."
"Help me.","Ayudame."
"Help us.","Ayúdanos."
"Hi, Tom.","¡Hola, Tom!"
"Hit Tom.","Golpea a Tom."
"Hold it!","Espera."
"Hold it.","Sostenlo."
"Hold it.","Sostenedlo."
"Hold it.","Sosténgalo."
"Hold it.","Sosténganlo."
"Hold it.","Sosténganla."
"Hold it.","Sosténgala."
"Hold it.","Sostenla."
"Hold it.","Sostenedla."
"Hold on.","Espera."
"Hold on.","Resista."
"Hold on.","Resiste."
"Hold on.","Agarra fuertemente."
"Hug Tom.","Abraza a Tom."
"I agree.","Estoy de acuerdo."
"I agree.","De acuerdo."
"I bowed.","Me incliné."
"I fired.","Disparé."
"I froze.","Me congelé."
"I froze.","Me helé."
"I froze.","Me quedé quieto."
"I moved.","Me he mudado."
"I moved.","Me mudé."
"I moved.","Me trasladé."
"I moved.","Me he trasladado."
"I slept.","Dormí."
"I tried.","Lo intenté."
"I'll go.","Iré."
"I'm Tom.","Soy Tom."
"I'm fat.","Estoy gordo."
"I'm fat.","Soy gorda."
"I'm fit.","Estoy en forma."
"I'm hit!","Estoy afectado."
"I'm old.","Soy viejo."
"I'm shy.","Soy tímido."
"I'm wet.","Estoy mojada."
"It's OK.","Está bien."
"It's me!","Soy yo."
"It's me.","Soy yo."
"Join us.","Únete a nosotros."
"Join us.","Sé parte nuestra."
"Join us.","Únase a nosotros."
"Keep it.","Guárdalo."
"Lie low.","Pasa desapercibido."
"Lock it.","Echa el candado."
"Me, too.","Yo, también."
"Open up.","Abre."
"Perfect!","¡Perfecto!"
"Push it.","Empújala."
"Push it.","Empújalo."
"Push it.","Empújadlo."
"Push it.","Empújadla."
"Push it.","Empújelo."
"Push it.","Empújela."
"Push it.","Empújenlo."
"Push it.","Empújenla."
"See you.","Nos vemos."
"Show me.","Muéstramelo."
"Show me.","Enséñamelo."
"Show me.","Mostrame."
"Shut up!","¡Cierra la boca!"
"Shut up!","¡Cerrá el pico!"
"Skip it.","Sáltatelo."
"So long.","Hasta la vista."
"So long.","Hasta luego."
"Stop it.","Páralo."
"Stop it.","Detenlo."
"Take it.","Cógelo."
"Tell me.","Dímelo."
"Tell me.","Decime."
"Tell me.","Decídmelo."
"Tell me.","Cuéntame."
"Tom ate.","Tom comió."
"Tom ran.","Tom corrió."
"Tom won.","Tom ganó."
"Wait up.","Espérame despierto."
"Wake up!","¡Despierta!"
"Wake up!","¡Despiértate!"
"Wake up!","¡Despertate!"
"Wake up.","Despierta."
"Wash up.","Lávate las manos."
"We care.","Nos preocupamos."
"We know.","Lo sabemos."
"We lost.","Perdimos."
"Welcome.","Bienvenidos."
"Welcome.","Bienvenidas."
"Who ate?","¿Quién comió?"
"Who ran?","¿Quién corría?"
"Who ran?","¿Quién corrió?"
"Who won?","¿Quién ganó?"
"Who won?","¿Quién ha ganado?"
"Why not?","¿Por qué no?"
"You run.","Corre."
"You won.","Has ganado."
"Am I fat?","¿Estoy gordo?"
"Am I fat?","¿Estoy gorda?"
"Ask them.","Preguntales."
"Ask them.","Pregúntales."
"Back off!","Aparta."
"Back off!","¡Retrocede!"
"Back off.","Apártate."
"Be a man.","Sé un hombre."
"Be brave.","Sé fuerte."
"Be brief.","Sé breve."
"Be brief.","Sea breve."
"Be brief.","Sean breves."
"Be quiet.","Estate quieto."
"Be still.","No te muevas."
"Call Tom.","¡Llamalo a Tomás!"
"Call Tom.","¡Llámalo a Tomás!"
"Call Tom.","¡Llámenlo a Tomás!"
"Cheer up!","Anímate."
"Cheer up.","Venga."
"Cool off!","¡Cálmate!"
"Cuff him.","Espósale."
"Don't go.","No te vayas."
"Drive on.","Continúa."
"Find Tom.","Encontralo a Tomás."
"Find Tom.","Encuéntralo a Tomás."
"Find Tom.","Encuéntrelo a Tomás."
"Find Tom.","Encuéntrenlo a Tomás."
"Find Tom.","Encuentre a Tom."
"Find Tom.","Encuentren a Tom."
"Fix this.","Arregla esto."
"Get away!","¡Vete de aquí!"
"Get away!","¡Lárgate!"
"Get away!","¡Largo!"
"Get away!","¡Vete ya!"
"Get down.","Abajo."
"Get down.","Túmbate."
"Get lost!","¡Piérdete!"
"Get lost!","¡Vete de aquí!"
"Get lost!","¡Lárgate!"
"Get lost!","¡Largo!"
"Get lost!","¡Vete ya!"
"Get lost.","Esfúmate."
"Get real!","¡Despierta!"
"Get real!","¡Piénsalo bien!"
"Get real.","Abre los ojos."
"Go ahead!","Adelante."
"Go ahead.","Adelante."
"Go on in.","Entre."
"Go on in.","Entra."
"Go on in.","Entren."
"Go on in.","Entrá."
"Go on in.","Entrad."
"Going up?","¿Subes?"
"Good job!","¡Buen trabajo!"
"Grab Tom.","Sujeta a Tom."
"Grab him.","Agárralo."
"Have fun.","Diviértanse."
"Have fun.","Pásala bien."
"Have fun.","Pásenla bien."
"He spoke.","Él habló."
"He tries.","Él lo intenta."
"He tries.","Él prueba."
"Help Tom.","Ayuda a Tom."
"Hi, guys.","Hola, ¿qué hay?"
"Hi, guys.","Ey, chavales."
"Hi, guys.","¿Qué pasa, troncos?"
"Hi, guys.","Buenas."
"Hi, guys.","¿Qué tal os va?"
"Hi, guys.","Hola por aquí."
"How cute!","¡Qué encanto!"
"How deep?","¿Qué tan profundo?"
"How deep?","¿Cómo de profundo?"
"Humor me.","Hazme el favor."
"Humor me.","Compláceme."
"Hurry up.","¡Date prisa!"
"Hurry up.","Apresúrate."
"Hurry up.","Daos prisa."
"Hurry up.","Apúrese."
"I agreed.","Convine."
"I agreed.","Acepté."
"I agreed.","Accedí."
"I am old.","Estoy viejo."
"I ate it.","Me lo comí."
"I ate it.","Me la comí."
"I can go.","Puedo ir."
"I cursed.","Maldije."
"I cursed.","Despotriqué."
"I did OK.","Lo hice bien."
"I did it.","Lo hice."
"I failed.","Fracasé."
"I failed.","Fallé."
"I forgot.","Lo olvidé."
"I get by.","Me las arreglo."
"I get it.","Lo entiendo."
"I got it.","Lo tengo."
"I had it.","Lo tenía."
"I helped.","Ayudé."
"I jumped.","Salté."
"I looked.","Miré."
"I phoned.","Llamé por teléfono."
"I prayed.","Recé."
"I refuse.","Me niego."
"I resign.","Dimito."
"I resign.","Renuncio."
"I sat up.","Me senté."
"I saw it.","Lo vi."
"I shaved.","Me rasuré."
"I sighed.","Suspiré."
"I smiled.","Sonreí."
"I stayed.","Me quedé."
"I talked.","Hablé."
"I talked.","Hablaba."
"I talked.","Charlé."
"I talked.","Charlaba."
"I use it.","Yo lo uso."
"I waited.","Esperé."
"I'll pay.","Yo pagaré."
"I'm back.","He vuelto."
"I'm back.","Estoy de vuelta."
"I'm bald.","Soy calvo."
"I'm bald.","Estoy calvo."
"I'm calm.","Estoy calmado."
"I'm cool.","Estoy tranquilo."
"I'm deaf.","Soy sordo."
"I'm done.","He terminado."
"I'm done.","Estoy acabado."
"I'm done.","Lo dejo."
"I'm easy.","Soy bastante facilón."
"I'm fair.","Soy justo."
"I'm fine.","Estoy perfectamente."
"I'm free!","¡Soy libre!"
"I'm free.","Yo soy libre."
"I'm full.","Estoy lleno."
"I'm full.","Estoy llena."
"I'm full.","Ya me llené."
"I'm here.","Estoy aquí."
"I'm home.","Estoy en casa."
"I'm hurt.","Estoy herido."
"I'm late.","Llego tarde."
"I'm lazy.","Soy vago."
"I'm lost.","Estoy perdida."
"I'm mean.","Soy malo."
"I'm next.","Me toca a mí."
"I'm okay.","Estoy perfectamente."
"I'm poor.","Soy pobre."
"I'm rich.","Soy rica."
"I'm rich.","Soy rico."
"I'm safe.","Estoy a salvo."
"I'm sick.","Estoy enferma."
"I'm thin.","Soy delgado."
"I'm tidy.","Estoy limpio."
"I'm ugly.","Soy fea."
"I'm warm.","Estoy calentito."
"I'm weak.","Estoy débil."
"I'm wise.","Soy listo."
"I've won.","Gané."
"It helps.","Eso ayuda."
"It hurts.","Duele."
"It works.","Funciona."
"It's Tom.","Es Tom."
"It's fun.","Es divertido."
"It's his.","Es suyo."
"It's new.","Es nuevo."
"It's odd.","Es extraño."
"It's old.","Es viejo."
"It's red.","Es rojo."
"It's sad.","Es triste."
"It's tea.","Es té."
"Keep out!","Prohibido pasar."
"Keep out.","No entrar."
"Kiss Tom.","Besá a Tomás."
"Kiss Tom.","Besa a Tomás."
"Kiss Tom.","Besen a Tomás."
"Leave it.","¡Déjalo!"
"Leave it.","Déjalo."
"Leave me.","Déjame."
"Leave us.","Déjanos."
"Let's go!","Vámonos."
"Let's go!","Vamos."
"Let's go!","¡Órale!"
"Let's go.","¡Órale!"
"Look out!","Cuidado."
"Marry me.","Cásate conmigo."
"May I go?","¿Puedo ir?"
"Save Tom.","Salva a Tom."
"She came.","Ella vino."
"She died.","Ella murió."
"She runs.","Ella corre."
"Sit down!","¡Sentate!"
"Sit down.","Siéntate."
"Sit down.","Sentate."
"Sit here.","Siéntate aquí."
"Speak up!","¡Hable más fuerte!"
"Speak up!","Habla más fuerte."
"Speak up!","¡Habla más alto!"
"Stand by.","Prepárate."
"Stand by.","Un momento."
"Stand up!","¡Parate!"
"Stand up!","¡De pie!"
"Stay put.","No te muevas."
"Stop Tom.","Detén a Tom."
"Take Tom.","Llévate a Tom."
"Tell Tom.","Díselo a Tom."
"Terrific!","¡Genial!"
"Terrific!","¡Órale!"
"They won.","Ellos ganaron."
"Tom came.","Tom vino."
"Tom died.","Tom murió."
"Tom died.","Tom ha muerto."
"Tom fell.","Tom se cayó."
"Tom knew.","Tom lo sabía."
"Tom knew.","Tom tenía constancia de ello."
"Tom left.","Tom se fue."
"Tom lied.","Tom mintió."
"Tom lies.","Tomás miente."
"Tom lost.","Tom perdió."
"Tom paid.","Tom pagó."
"Tom quit.","Tom renunció."
"Tom sang.","Tom cantó."
"Tom spit.","Tom escupió."
"Tom swam.","Tom nadó."
"Tom wept.","Tom lloró."
"Tom's up.","Tom se ha levantado."
"Too late.","Demasiado tarde."
"Trust me.","Confía en mí."
"Try hard.","Inténtalo de veras."
"Try some.","Prueba un poco."
"Try some.","Pruebe un poco."
"Try some.","Prueben un poco."
"Try some.","Pruébalo."
"Try this.","Prueben esto."
"Try this.","Probá esto."
"Try this.","Prueba esto."
"Use this.","Usa esto."
"Warn Tom.","Avísale a Tom."
"Warn Tom.","Avísele a Tom."
"Warn Tom.","Avísenle a Tom."
"Warn Tom.","Avisale a Tom."
"Watch me.","Mírame."
"Watch me.","Vigílame."
"Watch me.","Obsérvame."
"Watch us.","Obsérvalos."
"Watch us.","Obsérvanos."
"We agree.","Estamos de acuerdo."
"We tried.","Lo intentamos."
"We'll go.","Iremos."
"We're OK.","Estamos bien."
"What for?","¿Para qué?"
"What fun!","¡Qué divertido!"
"Who am I?","¿Quién soy yo?"
"Who came?","¿Quién vino?"
"Who died?","¿Quién murió?"
"Who fell?","¿Quién se calló?"
"Who fell?","¿Quién se cayó?"
"Who lost?","¿Quién perdió?"
"Who paid?","¿Quién pagó?"
"Who quit?","¿Quién se ha ido?"
"Who quit?","¿Quién lo ha dejado?"
"Who swam?","¿Quién nadó?"
"Who's he?","¿Quién es él?"
"Write me.","Escríbeme."
"You lost.","Perdiste."
"You lost.","Has perdido."
"You lost.","Perdisteis."
"You lost.","Habéis perdido."
"You lost.","Perdió usted."
"You lost.","Ha perdido usted."
"You lost.","Perdieron ustedes."
"You lost.","Han perdido ustedes."
"After you.","Después de ti."
"After you.","Tú primero."
"After you.","Usted primero."
"After you.","Después de usted."
"After you.","Después de vosotras."
"Aim. Fire!","Apunta. ¡Fuego!"
"Answer me.","Respóndeme."
"Answer me.","Respondedme."
"Answer me.","Respóndanme."
"Be honest.","Sé sincero."
"Birds fly.","Los pájaros vuelan."
"Bless you.","Jesús."
"Call home!","¡Llama a casa!"
"Calm down.","Cálmate."
"Calm down.","Tranquilízate."
"Calm down.","Ponte en paz."
"Calm down.","Tomátelo con soda."
"Calm down.","Bajá un cambio."
"Can we go?","¿Podemos ir?"
"Can we go?","¿Podemos irnos?"
"Can we go?","¿Podemos marcharnos?"
"Catch Tom.","¡Atrápelo a Tomás!"
"Catch him.","Captúralo."
"Catch him.","Captúrenlo."
"Catch him.","Atrápenlo."
"Catch him.","Atrápalo."
"Come back.","Vuelve."
"Come here.","Vení."
"Come here.","Ven."
"Come here.","Venid aquí."
"Come here.","Que vengas."
"Come home.","Ven a casa."
"Come over.","Venid aquí."
"Come over.","Vente."
"Come over.","Veníos."
"Come over.","Venga aquí."
"Come soon.","Vuelve pronto."
"Did I win?","¿Yo gané?"
"Did I win?","¿Gané?"
"Do it now.","Hazlo ahora."
"Do it now.","Hazlo inmediatamente."
"Dogs bark.","Los perros ladran."
"Don't ask.","No preguntes."
"Don't cry.","No llores."
"Don't cry.","¡No llorés!"
"Don't cry.","¡No llores!"
"Don't cry.","No lloren."
"Don't cry.","No lloréis."
"Don't cry.","No llore."
"Don't cry.","No llorés."
"Don't die.","¡No te mueras!"
"Don't lie.","No mintáis."
"Don't run.","No corras."
"Fantastic!","¡Fantástico!"
"Fantastic!","¡Es estupendo!"
"Fantastic!","¡Órale!"
"Feel this.","Tienta esto."
"Feel this.","Tiente esto."
"Feel this.","Tienten esto."
"Feel this.","Tentad esto."
"Feel this.","Tentá esto."
"Follow me.","Sígueme."
"Follow me.","Seguidme."
"Follow us.","Síguenos."
"Forget it.","Déjalo."
"Forget me.","Olvídame."
"Forget me.","Olvídate de mí."
"Forget me.","Olvídenme."
"Forget me.","Olvídense de mí."
"Get ready.","Preparaos."
"Get to it.","Ponte a ello."
"Go for it.","Ve a por ello."
"Go for it.","Ve a cogerlo."
"Go get it.","Ve a por ello."
"Go get it.","Vete a por ello."
"Go get it.","Id a por ello."
"Go inside.","Entra."
"Go to bed.","Vete a la cama."
"Grab that.","Cógelo."
"Grab this.","Agarra esto."
"Have some.","Coge alguno."
"Have some.","Toma algo."
"Have some.","Tome alguno."
"He is old.","Él es viejo."
"He is old.","Él es anciano."
"He shaved.","Él se afeitó."
"He smiled.","Sonrió."
"He's a DJ.","Él es DJ."
"He's fast.","Él es veloz."
"He's good.","Él es bueno."
"He's rich.","Él es rico."
"He's rich.","Es rico."
"Here I am.","Acá estoy."
"Hold this.","Sostén esto."
"How awful!","¡Qué horror!"
"How weird!","¡Qué raro!"
"How's Tom?","¿Cómo está Tom?"
"Humor Tom.","Divierte a Tom."
"I am full.","Estoy lleno."
"I am full.","Estoy llena."
"I am good.","Soy bueno."
"I am sick.","Estoy enferma."
"I am well.","Estoy saludable."
"I beg you.","Te lo ruego."
"I beg you.","Te lo suplico."
"I belched.","Eructé."
"I can fly.","Puedo volar."
"I can run.","Puedo correr."
"I can run.","Sé correr."
"I can ski.","Sé esquiar."
"I cringed.","Sentí vergüenza."
"I exhaled.","Exhalé."
"I fainted.","Perdí la consciencia."
"I fainted.","Quedé inconsciente."
"I gave up.","Lo dejé."
"I gave up.","Me rendí."
"I gave up.","Tiré la toalla."
"I gave up.","Cedí."
"I get you.","Te entiendo."
"I get you.","Te pillo."
"I get you.","Ya te pillo."
"I give up.","Lo dejo."
"I got hit.","Me dieron."
"I got hit.","Me alcanzaron."
"I grinned.","Sonreí."
"I hate it.","Lo odio."
"I hate it.","Me la seca."
"I hate it.","Me la baja."
"I hit Tom.","Golpeé a Tom."
"I hit Tom.","Golpeo a Tom."
"I hope so.","Eso espero."
"I kneeled.","Me arrodillé."
"I kneeled.","Me arrodillaba."
"I knew it.","Lo sabía."
"I laughed.","Me reí."
"I like it.","Me gusta."
"I love it!","¡Lo adoro!"
"I love it.","Me encanta."
"I mean it!","Hablo en serio."
"I mean it.","Lo digo en serio."
"I mean it.","Hablo en serio."
"I miss it.","Lo echo en falta."
"I miss it.","Lo echo de menos."
"I miss it.","Lo añoro."
"I need it.","Lo necesito."
"I saw Tom.","Vi a Tom."
"I saw him.","Le vi."
"I saw him.","Lo vi."
"I saw one.","Vi uno."
"I saw one.","Vi a uno."
"I saw one.","Veía a uno."
"I saw you.","Te vi."
"I saw you.","Te he visto."
"I see Tom.","Veo a Tom."
"I tripped.","Me tropecé."
"I was sad.","Estuve triste."
"I was shy.","Era tímido."
"I will go.","Iré."
"I woke up.","Me desperté."
"I'll cook.","Yo cocinaré."
"I'll cook.","Yo guisaré."
"I'll live.","Viviré."
"I'll sing.","Cantaré."
"I'll stop.","Pararé."
"I'll stop.","Lo dejaré."
"I'll wait.","Esperaré."
"I'll wait.","Aguardaré."
"I'll walk.","Caminaré."
"I'll walk.","Andaré."
"I'll work.","Voy a trabajar."
"I'm a man.","Soy un hombre."
"I'm a pro.","Soy un pro."
"I'm alone.","Estoy solo."
"I'm alone.","Estoy sola."
"I'm alone.","Yo estoy solo."
"I'm alone.","Yo estoy sola."
"I'm angry.","Estoy enojado."
"I'm angry.","Estoy enojada."
"I'm awake.","Estoy despierto."
"I'm blind.","Soy ciega."
"I'm brave.","Soy valiente."
"I'm broke.","Estoy sin dinero."
"I'm broke.","Estoy quebrado."
"I'm broke.","Estoy sin blanca."
"I'm broke.","No tengo blanca."
"I'm crazy.","Estoy loco."
"I'm drunk.","Estoy borracho."
"I'm drunk.","Estoy tomada."
"I'm drunk.","Estoy prendida."
"I'm dying.","Me estoy muriendo."
"I'm first.","Soy el primero."
"I'm first.","Voy el primero."
"I'm first.","Me toca primero."
"I'm first.","Yo voy primero."
"I'm happy.","Soy feliz."
"I'm happy.","Estoy feliz."
"I'm loved.","Soy amado."
"I'm loved.","Soy amada."
"I'm lucky.","Tengo suerte."
"I'm obese.","Soy obeso."
"I'm ready!","¡Estoy listo!"
"I'm ready.","Estoy listo."
"I'm ready.","Ya estoy."
"I'm sorry.","Lo siento."
"I'm tired.","Yo estoy cansado."
"I'm tired.","Yo estoy cansada."
"I'm yours.","Soy tuyo."
"I'm yours.","Soy tuya."
"I'm yours.","Soy suyo."
"I've lost.","He perdido."
"Ignore it.","Ólvidalo."
"Ignore it.","No hagas caso."
"Is Tom OK?","¿Está bien Tom?"
"Is Tom in?","¿Está Tom?"
"Is he Tom?","¿Es ese Tom?"
"Is he Tom?","¿Él es Tom?"
"Is it bad?","¿Es grave?"
"Is it bad?","¿Es malo?"
"Is it far?","¿Está lejos?"
"Is it you?","¿Eres tú?"
"It burned.","Se quemó."
"It failed.","No lo consiguió."
"It failed.","Falló."
"It failed.","Fracasó."
"It poured.","Diluviaba."
"It rained.","Llovió."
"It snowed.","Nevó."
"It stinks.","Apesta."
"It worked.","Funcionó."
"It's 8:30.","Son las 8:30."
"It's a TV.","Es un televisor."
"It's cold.","Hace frío."
"It's cold.","Está frío."
"It's cool.","Está frío."
"It's cool.","Está fresco."
"It's dark.","Está oscuro."
"It's done!","¡Está listo!"
"It's fine.","Está perfecto."
"It's good.","Está bien."
"It's good.","Es bueno."
"It's here.","Está aquí."
"It's hers.","Es de ella."
"It's late.","Es tarde."
"It's mine.","Es mío."
"It's mine.","Es mía."
"It's nice.","Es agradable."
"It's nice.","Hace buen tiempo."
"It's okay.","Vale."
"It's okay.","Está bien."
"It's ours.","Es nuestro."
"It's ours.","Es la nuestra."
"It's over.","Se terminó."
"It's over.","Se acabó."
"It's time.","Ha llegado el momento."
"It's time.","Es la hora."
"It's time.","Es el momento."
"It's time.","Ha llegado la hora."
"It's true!","¡Es verdad!"
"It's true.","Es verdad."
"It's work.","Es mi trabajo."
"Keep them.","Guárdalos."
"Keep them.","Quédatelos."
"Keep them.","Guárdenselos."
"Keep this.","Guarda esto."
"Keep this.","Guarde esto."
"Keep this.","Guardá esto."
"Keep this.","Guardad esto."
"Keep this.","Guarden esto."
"Keep warm.","Mantente caliente."
"Keep warm.","Manténgase caliente."
"Keep warm.","Mantenete caliente."
"Keep warm.","Mantenete abrigado."
"Keep warm.","Mantente abrigado."
"Keep warm.","Manténgase abrigado."
"Keep warm.","Manténganse calientes."
"Keep warm.","Manténganse abrigados."
"Leave Tom.","Dejalo a Tomás."
"Leave Tom.","Déjalo a Tomás."
"Leave Tom.","Déjelo a Tomás."
"Leave now.","Ahora márchate."
"Leave now.","Ahora vete."
"Leave now.","Ahora lárgate."
"Let me go!","¡Déjame marchar!"
"Let me go!","¡Suéltame!"
"Let me go!","¡Déjeme ir!"
"Let me go.","¡Déjeme ir!"
"Let me in.","Déjame entrar."
"Let me in.","Déjeme entrar."
"Let us in.","Déjanos entrar."
"Let's eat.","Comamos."
"Let's see.","Veamos."
"Let's try!","¡Intentémoslo!"
"Lie still.","Túmbate en silencio."
"Lie still.","Mantente quieto en el suelo."
"Listen up.","Escuchá."
"Look away.","Mirá para otro lado."
"Look away.","Mira para otro lado."
"Look away.","Mire para otro lado."
"Look away.","Miren para otro lado."
"Look back!","¡Mira hacia atrás!"
"Look back.","Mira atrás."
"Look back.","Mire atrás."
"Look back.","Mirad atrás."
"Look here.","Mira aquí."
"Look here.","Mirad aquí."
"Look here.","Miren aquí."
"Loosen it.","Aflójalo."
"Loosen it.","Suéltalo."
"Loosen it.","Suéltala."
"Loosen it.","Aflójala."
"Move over.","Hazte a un lado."
"Move over.","Deja sitio."
"Move over.","Mueve el culo."
"Move over.","Deja pasar."
"Nice shot!","¡Buen tiro!"
"Of course!","¡Por supuesto!"
"Open fire!","¡Disparad!"
"Open fire!","¡Fuego a discreción!"
"Pardon me?","¿Perdona?"
"Please go.","Por favor, ve."
"Please go.","Por favor, vete."
"Please go.","Por favor, márchate."
"Please go.","Por favor, váyase."
"Put it on.","Póntelo."
"Put it on.","Póngaselo."
"Put it on.","Ponéoslo."
"Put it on.","Pónganselo."
"Read this.","Lee esto."
"Read this.","Lea esto."
"Read this.","Lean esto."
"Read this.","Leed esto."
"Say hello.","Decí hola."
"Search me.","A mí que me registren."
"See above.","Véase arriba."
"See above.","Véase más arriba."
"Seize him!","¡A por él!"
"Seize him!","¡Cogedlo!"
"Seize him!","¡Arrestadlo!"
"Seize him!","¡Prendedlo!"
"Seize him!","¡Capturadlo!"
"Seriously?","¿En serio?"
"She tried.","Ella lo intentó."
"She tried.","Ella lo probó."
"She walks.","Ella anda."
"She walks.","Ella camina."
"She walks.","Anda."
"She's hot.","Ella es candente."
"She's hot.","Está como un tren."
"She's hot.","Está de toma pan y moja."
"She's hot.","Está buena."
"She's hot.","Está que cruje."
"Sign here.","Firme aquí."
"Sign this.","Firma esto."
"Sign this.","Firme esto."
"Sign this.","Firmen esto."
"Sign this.","Firmá esto."
"Sign this.","Firmad esto."
"Sit still.","Siéntate y no te muevas."
"Sit still.","Siéntate y quédate quieto."
"Sit there.","Sentate ahí."
"Sit tight.","Tú mantente."
"Slow down.","Quieto."
"Slow down.","Más despacio."
"Stay away.","Fuera."
"Stay away.","Aléjate."
"Stay calm.","Mantén la calma."
"Stay calm.","Mantené la calma."
"Stay here.","Quedate acá."
"Stay home.","Quédate en casa."
"Stay thin.","Mantente delgado."
"Step back.","Da un paso atrás."
"Stop here.","Para aquí."
"Stop here.","Párate aquí."
